ClaimID,PolicyID,IncidentDate,SettlementDate,TurnaroundDays,ClaimType,ClaimAmount,ClaimStatus,RepudiationReason
CLM-50001,POL-104999,2025-10-12,,,Housebreaking / Theft,51021.97,Repudiated,Material Non-Disclosure at Inception
CLM-50002,POL-101924,2025-01-29,2025-02-28,30,Storm / Roof Damage,146666.09,Settled,
CLM-50003,POL-104258,2025-04-09,2025-04-17,8,Windscreen Replacement,9151.29,Settled,
CLM-50004,POL-104548,2025-04-26,2025-05-19,23,Premises Liability,184210.05,Settled,
CLM-50005,POL-104615,2024-07-26,2024-08-17,22,Windscreen Replacement,6187.27,Settled,
CLM-50006,POL-104124,2024-04-20,2024-05-12,22,Vehicle Theft / Hijack,223335.92,Settled,
CLM-50007,POL-102548,2025-03-05,,,Farm Property Fire,328170.23,Repudiated,Uninsured Peril / Exclusion Applied
CLM-50008,POL-104907,2025-02-07,2025-03-07,28,Machinery Breakdown,92838.45,Settled,
CLM-50009,POL-102989,2025-03-14,2025-04-07,24,Agricultural Machinery Breakdown,69115.98,Settled,
CLM-50010,POL-104911,2025-05-15,2025-06-22,38,Agricultural Machinery Breakdown,40069.47,Settled,
CLM-50011,POL-101734,2025-01-10,2025-01-25,15,Vehicle Collision,29490.38,Settled,
CLM-50012,POL-102970,2024-09-09,,,Commercial Fire Damage,246458.05,Repudiated,Fraudulent / Inflated Claim
CLM-50013,POL-103481,2024-05-01,2024-05-20,19,Housebreaking / Theft,118961.29,Settled,
CLM-50014,POL-100287,2025-08-28,,,Fleet Hail Damage,156773.38,Repudiated,Fraudulent / Inflated Claim
CLM-50015,POL-100346,2025-01-27,2025-02-05,9,Hail Damage,29307.43,Settled,
CLM-50016,POL-104235,2025-08-23,2025-09-14,22,Severe Drought / Heat Stress,172366.39,Settled,
CLM-50017,POL-100730,2025-02-02,2025-02-12,10,Vehicle Theft / Hijack,119903.78,Approved,
CLM-50018,POL-103579,2024-11-11,2024-11-21,10,Geyser Burst / Water Damage,27038.27,Settled,
CLM-50019,POL-101433,2024-07-08,2024-07-25,17,Hail Damage,55315.47,Settled,
CLM-50020,POL-102063,2024-05-17,2024-05-25,8,Hail Damage,24876.46,Settled,
CLM-50021,POL-100192,2025-08-04,,,Vehicle Collision,44555.03,Repudiated,Unlicensed / Unauthorised Driver
CLM-50022,POL-100021,2025-04-27,2025-05-18,21,Severe Drought / Heat Stress,104909.82,Settled,
CLM-50023,POL-104584,2025-06-01,2025-06-10,9,Storm / Roof Damage,13937.56,Approved,
CLM-50024,POL-102926,2025-05-09,2025-05-13,4,Vehicle Theft / Hijack,270658.07,Settled,
CLM-50025,POL-102257,2024-06-18,,,Severe Drought / Heat Stress,133169.67,Repudiated,Fraudulent / Inflated Claim
CLM-50026,POL-102901,2024-06-27,2024-07-02,5,Vehicle Collision,19669.06,Settled,
CLM-50027,POL-102980,2025-12-26,,,Storm / Roof Damage,41168.86,Repudiated,Material Non-Disclosure at Inception
CLM-50028,POL-103501,2024-08-12,2024-08-23,11,Hail Damage,37628.02,Settled,
CLM-50029,POL-103619,2025-11-27,2025-12-28,31,Vehicle Collision,74770.33,Settled,
CLM-50030,POL-101950,2025-11-18,2025-12-03,15,Cargo Loss in Transit,289678.03,Settled,
CLM-50031,POL-100291,2024-05-10,,,Premises Liability,111211.82,Under Investigation,
CLM-50032,POL-103539,2024-08-08,2024-08-22,14,Accidental Damage,35861.07,Approved,
CLM-50033,POL-104819,2025-04-28,2025-05-12,14,Vehicle Theft / Hijack,280064.26,Settled,
CLM-50034,POL-100653,2024-09-03,2024-10-01,28,Building Storm Inundation,73657.39,Approved,
CLM-50035,POL-100967,2025-02-20,2025-03-09,17,Premises Liability,115473.2,Settled,
CLM-50036,POL-101998,2025-02-15,2025-02-26,11,Hail Damage,12206.5,Settled,
CLM-50037,POL-102758,2025-02-14,2025-02-26,12,Vehicle Collision,27569.87,Settled,
CLM-50038,POL-100679,2024-10-08,2024-10-25,17,Vehicle Collision,44352.18,Settled,
CLM-50039,POL-100032,2024-04-26,2024-05-06,10,Vehicle Theft / Hijack,105369.35,Settled,
CLM-50040,POL-102350,2025-01-04,2025-01-16,12,Fleet Hail Damage,277768.72,Settled,
CLM-50041,POL-102293,2024-11-08,2024-12-05,27,Vehicle Collision,152288.6,Settled,
CLM-50042,POL-100152,2024-10-31,2024-11-15,15,Storm / Roof Damage,18462.69,Settled,
CLM-50043,POL-100433,2025-06-11,2025-06-24,13,Power Surge,11398.85,Settled,
CLM-50044,POL-101610,2025-02-04,2025-03-07,31,Commercial Fire Damage,654744.01,Settled,
CLM-50045,POL-101215,2025-07-16,2025-08-08,23,Premises Liability,53080.77,Settled,
CLM-50046,POL-100751,2024-10-17,2024-10-26,9,Windscreen Replacement,4374.61,Settled,
CLM-50047,POL-104138,2024-10-31,2024-12-01,31,Business Interruption,161109.64,Approved,
CLM-50048,POL-103922,2024-10-20,2024-10-31,11,Vehicle Collision,31885.13,Settled,
CLM-50049,POL-104120,2025-12-13,2026-01-05,23,Cargo Loss in Transit,83035.42,Settled,
CLM-50050,POL-101118,2024-06-28,,,Geyser Burst / Water Damage,13605.66,Repudiated,Unlicensed / Unauthorised Driver
CLM-50051,POL-101933,2024-04-17,2024-05-05,18,Major Fleet Theft,454935.03,Settled,
CLM-50052,POL-101685,2024-10-20,2024-11-19,30,Major Fleet Theft,632030.33,Settled,
CLM-50053,POL-102926,2025-10-06,,,Windscreen Replacement,12655.12,Repudiated,Failure to Take Reasonable Precautions
CLM-50054,POL-103783,2024-04-04,2024-04-28,24,Driver Vehicle Rollover,327150.83,Settled,
CLM-50055,POL-103916,2025-05-17,,,Vehicle Collision,25755.23,Under Investigation,
CLM-50056,POL-103986,2025-02-15,2025-03-07,20,Major Fleet Theft,333288.33,Settled,
CLM-50057,POL-100683,2025-09-23,2025-10-09,16,Premises Liability,94562.56,Settled,
CLM-50058,POL-104898,2025-08-25,2025-09-12,18,Power Surge,12036.02,Settled,
CLM-50059,POL-104092,2024-04-09,2024-04-20,11,Storm / Roof Damage,29964.1,Settled,
CLM-50060,POL-102917,2025-09-10,,,Third Party Liability,56826.37,Repudiated,Fraudulent / Inflated Claim
CLM-50061,POL-103206,2025-09-27,2025-11-09,43,Farm Property Fire,425731.71,Settled,
CLM-50062,POL-102619,2025-01-01,,,Major Fleet Theft,635368.44,Repudiated,Fraudulent / Inflated Claim
CLM-50063,POL-100399,2025-07-01,,,Storm / Roof Damage,13574.23,Repudiated,Unlicensed / Unauthorised Driver
CLM-50064,POL-104013,2024-12-02,,,Fleet Hail Damage,204067.92,Under Investigation,
CLM-50065,POL-100083,2025-09-25,2025-10-11,16,Vehicle Collision,22490.51,Settled,
CLM-50066,POL-103543,2024-05-12,,,Windscreen Replacement,4272.92,Repudiated,Material Non-Disclosure at Inception
CLM-50067,POL-102230,2025-06-17,2025-06-21,4,Vehicle Collision,39389.91,Settled,
CLM-50068,POL-100722,2025-01-02,,,Vehicle Collision,23119.43,Repudiated,Failure to Take Reasonable Precautions
CLM-50069,POL-100972,2025-08-11,2025-09-05,25,Building Storm Inundation,195388.04,Approved,
CLM-50070,POL-102205,2025-05-26,2025-05-30,4,Storm / Roof Damage,30109.37,Settled,
CLM-50071,POL-104445,2024-12-27,,,Hail Damage,40097.69,Repudiated,Unlicensed / Unauthorised Driver
CLM-50072,POL-102329,2025-01-16,2025-02-26,41,Storm / Roof Damage,232379.57,Settled,
CLM-50073,POL-102749,2025-08-25,2025-09-26,32,Machinery Breakdown,176546.31,Settled,
CLM-50074,POL-100705,2025-07-05,,,Hail Damage,19643.55,Repudiated,Material Non-Disclosure at Inception
CLM-50075,POL-101397,2024-07-02,2024-07-27,25,Fleet Hail Damage,144489.57,Approved,
CLM-50076,POL-100363,2024-11-30,2024-12-13,13,Geyser Burst / Water Damage,13745.04,Settled,
CLM-50077,POL-100474,2025-03-13,,,Windscreen Replacement,6322.94,Repudiated,Unlicensed / Unauthorised Driver
CLM-50078,POL-103851,2024-10-24,2024-11-18,25,Machinery Breakdown,87868.26,Settled,
CLM-50079,POL-100448,2024-08-25,2024-09-05,11,Hail Damage,40485.19,Settled,
CLM-50080,POL-101230,2025-03-14,2025-04-04,21,Vehicle Theft / Hijack,288508.53,Settled,
CLM-50081,POL-104861,2025-01-17,2025-02-20,34,Geyser Burst / Water Damage,139803.82,Settled,
CLM-50082,POL-100164,2024-07-01,,,Driver Vehicle Rollover,422093.6,Repudiated,Material Non-Disclosure at Inception
CLM-50083,POL-104753,2025-07-17,2025-08-15,29,Business Interruption,61270.32,Settled,
CLM-50084,POL-101888,2025-07-05,,,Fleet Heavy Collision,125895.27,Repudiated,Unlicensed / Unauthorised Driver
CLM-50085,POL-101777,2024-03-23,,,Housebreaking / Theft,58698.57,Under Investigation,
CLM-50086,POL-101525,2024-12-24,2025-01-10,17,Storm / Roof Damage,164875.91,Approved,
CLM-50087,POL-104593,2025-04-12,2025-05-07,25,Livestock Loss,46267.77,Settled,
CLM-50088,POL-101962,2025-08-11,2025-09-03,23,Fleet Heavy Collision,76808.45,Settled,
CLM-50089,POL-102120,2024-11-22,2024-12-03,11,Storm / Roof Damage,44600.28,Settled,
CLM-50090,POL-103113,2025-06-19,2025-07-07,18,Driver Vehicle Rollover,576105.06,Settled,
CLM-50091,POL-102274,2025-10-08,2025-10-24,16,Geyser Burst / Water Damage,36079.14,Settled,
CLM-50092,POL-102551,2024-07-22,2024-08-05,14,Power Surge,10061.6,Settled,
CLM-50093,POL-103162,2024-10-31,2024-11-15,15,Vehicle Collision,48836.08,Settled,
CLM-50094,POL-100302,2025-07-31,2025-08-18,18,Major Fleet Theft,585816.64,Settled,
CLM-50095,POL-102941,2024-12-16,2025-01-03,18,Storm / Roof Damage,43674.84,Settled,
CLM-50096,POL-102167,2024-12-18,2025-01-07,20,Premises Liability,99974.96,Settled,
CLM-50097,POL-104237,2024-10-18,2024-11-10,23,Driver Vehicle Rollover,379088.63,Settled,
CLM-50098,POL-101966,2024-10-22,2024-10-29,7,Third Party Liability,30840.66,Settled,
CLM-50099,POL-100148,2025-06-03,2025-06-22,19,Geyser Burst / Water Damage,37192.41,Approved,
CLM-50100,POL-104574,2025-12-23,,,Storm / Roof Damage,18045.47,Repudiated,Unlicensed / Unauthorised Driver
CLM-50101,POL-100008,2025-06-23,,,Fleet Hail Damage,102691.47,Repudiated,Unlicensed / Unauthorised Driver
CLM-50102,POL-102678,2025-07-27,2025-08-15,19,Accidental Damage,30694.26,Settled,
CLM-50103,POL-103797,2024-10-13,2024-11-20,38,Crop Hail Damage,232692.22,Settled,
CLM-50104,POL-100204,2024-12-11,2024-12-16,5,Hail Damage,10934.27,Approved,
CLM-50105,POL-102425,2024-10-31,,,Fleet Heavy Collision,183970.09,Repudiated,Material Non-Disclosure at Inception
CLM-50106,POL-104374,2025-05-16,2025-05-20,4,Third Party Liability,24928.19,Settled,
CLM-50107,POL-103331,2025-05-02,2025-05-14,12,Geyser Burst / Water Damage,26497.59,Settled,
CLM-50108,POL-103480,2025-08-14,2025-08-24,10,Vehicle Theft / Hijack,211311.71,Settled,
CLM-50109,POL-103006,2025-04-06,2025-04-25,19,Accidental Damage,10643.5,Settled,
CLM-50110,POL-103252,2024-07-27,2024-08-05,9,Vehicle Theft / Hijack,200085.58,Approved,
CLM-50111,POL-104467,2024-04-11,2024-04-25,14,Vehicle Collision,34460.66,Settled,
CLM-50112,POL-100016,2025-04-22,2025-05-07,15,Third Party Liability,19099.54,Settled,
CLM-50113,POL-101648,2024-12-13,2024-12-21,8,Hail Damage,33441.06,Settled,
CLM-50114,POL-101904,2024-12-23,2025-01-11,19,Geyser Burst / Water Damage,32398.45,Settled,
CLM-50115,POL-104435,2025-09-28,2025-10-11,13,Geyser Burst / Water Damage,29245.86,Settled,
CLM-50116,POL-101744,2025-10-15,,,Power Surge,5882.2,Repudiated,Failure to Take Reasonable Precautions
CLM-50117,POL-100300,2024-12-25,2025-01-24,30,Vehicle Collision,156280.69,Settled,
CLM-50118,POL-104781,2025-07-31,,,Power Surge,6945.58,Repudiated,Unlicensed / Unauthorised Driver
CLM-50119,POL-100386,2025-07-28,2025-08-19,22,Premises Liability,209490.56,Approved,
CLM-50120,POL-102123,2024-06-02,2024-06-16,14,Accidental Damage,28628.57,Settled,
CLM-50121,POL-101255,2025-05-28,2025-06-09,12,Geyser Burst / Water Damage,20266.49,Settled,
CLM-50122,POL-101826,2024-09-05,2024-09-29,24,Machinery Breakdown,48040.71,Settled,
CLM-50123,POL-101706,2025-06-04,2025-06-24,20,Machinery Breakdown,142663.94,Settled,
CLM-50124,POL-101375,2025-05-18,2025-06-08,21,Geyser Burst / Water Damage,14495.22,Settled,
CLM-50125,POL-100883,2024-10-27,2024-11-22,26,Agricultural Machinery Breakdown,230837.51,Settled,
CLM-50126,POL-102472,2025-07-22,2025-08-11,20,Business Interruption,93804.92,Settled,
CLM-50127,POL-100266,2025-02-10,2025-03-16,34,Crop Hail Damage,208560.36,Settled,
CLM-50128,POL-103425,2025-01-18,2025-01-31,13,Vehicle Collision,26253.39,Settled,
CLM-50129,POL-100830,2025-03-13,2025-03-21,8,Hail Damage,36202.99,Settled,
CLM-50130,POL-100505,2024-04-03,2024-04-14,11,Vehicle Collision,26392.08,Settled,
CLM-50131,POL-102617,2025-05-11,,,Livestock Loss,234599.94,Under Investigation,
CLM-50132,POL-102371,2024-12-16,,,Vehicle Collision,208410.99,Under Investigation,
CLM-50133,POL-103527,2024-12-23,2025-01-15,23,Cargo Loss in Transit,153010.44,Settled,
CLM-50134,POL-104447,2025-05-20,2025-05-31,11,Vehicle Theft / Hijack,194038.57,Settled,
CLM-50135,POL-102784,2025-04-11,2025-04-19,8,Vehicle Theft / Hijack,147456.69,Settled,
CLM-50136,POL-101110,2024-07-05,2024-07-23,18,Windscreen Replacement,8276.74,Settled,
CLM-50137,POL-100871,2024-10-09,2024-11-09,31,Business Interruption,138037.23,Settled,
CLM-50138,POL-100370,2024-07-17,,,Commercial Fire Damage,328511.55,Repudiated,Uninsured Peril / Exclusion Applied
CLM-50139,POL-103522,2025-08-13,2025-08-29,16,Machinery Breakdown,80889.13,Settled,
CLM-50140,POL-101089,2024-11-11,2024-12-02,21,Storm / Roof Damage,29461.87,Approved,
