PolicyID,InceptionDate,ExpiryDate,ClassID,RegionID,AnnualPremium,PolicyStatus,BrokerChannel
POL-100001,2024-04-24,2025-04-24,1,6,14110.48,Active,Independent Broker
POL-100002,2024-03-30,2025-03-30,4,2,82786.76,Active,Direct Digital
POL-100003,2024-01-28,2025-01-27,3,1,126490.31,Active,Independent Broker
POL-100004,2025-04-04,2026-04-04,4,1,273310.46,Active,Corporate Intermediary
POL-100005,2025-03-08,2026-03-08,2,1,9345.62,Lapsed,Independent Broker
POL-100006,2024-04-04,2025-04-04,2,1,12153.92,Active,Direct Digital
POL-100007,2024-02-14,2025-02-13,5,2,141158.78,Cancelled,Independent Broker
POL-100008,2024-10-27,2025-10-27,4,4,291935.68,Active,Direct Digital
POL-100009,2024-03-12,2025-03-12,1,4,13337.53,Active,Direct Digital
POL-100010,2024-08-26,2025-08-26,1,2,14158.77,Active,Independent Broker
POL-100011,2025-01-14,2026-01-14,2,1,16448.42,Active,Independent Broker
POL-100012,2024-03-14,2025-03-14,4,4,116928.97,Active,Direct Digital
POL-100013,2025-01-23,2026-01-23,1,4,20885.86,Active,Independent Broker
POL-100014,2024-02-27,2025-02-26,1,1,22802.75,Active,Direct Digital
POL-100015,2024-11-18,2025-11-18,1,4,17787.39,Lapsed,Independent Broker
POL-100016,2024-05-26,2025-05-26,1,1,13644.69,Active,Direct Digital
POL-100017,2025-03-14,2026-03-14,3,2,84715.58,Cancelled,Direct Digital
POL-100018,2025-05-20,2026-05-20,1,7,10372.71,Active,Independent Broker
POL-100019,2025-03-08,2026-03-08,4,1,169267.99,Active,Independent Broker
POL-100020,2024-09-14,2025-09-14,3,1,122273.44,Active,Corporate Intermediary
POL-100021,2024-09-30,2025-09-30,5,4,107829.83,Active,Direct Digital
POL-100022,2024-01-04,2025-01-03,5,6,94776.14,Active,Direct Digital
POL-100023,2024-04-18,2025-04-18,4,1,281208.99,Active,Direct Digital
POL-100024,2025-01-17,2026-01-17,5,1,141694.44,Active,Independent Broker
POL-100025,2024-01-01,2024-12-31,4,2,194708.4,Active,Independent Broker
POL-100026,2024-11-10,2025-11-10,1,1,13550.29,Active,Direct Digital
